,question,answer1,answer2,label,sas,f1,bertvanilla,berttrained,bi_encoder,bleu,rouge_L,meteor,answer_encoded_twice
0,how many 5 star generals are there in the us,Nine,none,0.0,0.0387839078903198,0.0,0.4134675860404968,0.2348921746015548,0.2605519592761993,0.0,0.0,0.0,none
1,who killed natalie and ann in sharp objects,Amma,chucky,0.0,0.0094938883557915,0.0,0.2411138713359833,0.0952489376068115,0.1280857622623443,0.0,0.0,0.0,chucky
2,who killed natalie and ann in sharp objects,Amma,Camille Preaker,0.0,0.0097339721396565,0.0,0.2194188088178634,0.2501915395259857,0.247298389673233,0.0,0.0,0.0,Camille Preaker
3,who killed natalie and ann in sharp objects,Amma,Luke,0.0,0.0095621449872851,0.0,0.2258883267641067,0.1452979892492294,0.2079924941062927,0.0,0.0,0.0,Luke
4,youngest current member of the house of representatives,Alexandria Ocasio-Cortez,Kevin McCarthy,0.0,0.0096416855230927,0.0,0.2235110849142074,0.1595001816749572,0.1085907220840454,0.0,0.0,0.0,Kevin McCarthy
5,youngest current member of the house of representatives,Alexandria Ocasio-Cortez,29,0.0,0.0134932864457368,0.0,0.234239250421524,0.0952885672450065,0.0729081258177757,0.0,0.0,0.0,29
6,youngest current member of the house of representatives,Alexandria Ocasio-Cortez,elise stefanik,1.0,0.0096451006829738,0.0,0.2263774424791336,0.3831893801689148,0.3739798963069916,0.0,0.0,0.0,elise stefanik
7,youngest current member of the house of representatives,Alexandria Ocasio-Cortez,elise marie stefanik,1.0,0.0094813369214534,0.0,0.2264496684074401,0.3469507694244385,0.3318277597427368,0.0,0.0,0.0,elise marie stefanik
8,who signed the sugauli treaty on behalf of nepal,Raj Guru Gajaraj Mishra,Singha Durbar,0.0,0.0095011191442608,0.0,0.3137847185134888,0.3531668782234192,0.3879543542861938,0.0,0.0,0.0,Singha Durbar
9,who signed the sugauli treaty on behalf of nepal,Raj Guru Gajaraj Mishra,Nepal,0.0,0.009666372090578,0.0,0.2566846907138824,0.1366287767887115,0.1228721439838409,0.0,0.0,0.0,Nepal
10,who signed the sugauli treaty on behalf of nepal,Raj Guru Gajaraj Mishra,raj guru gajraj mishra,2.0,0.9709824919700624,0.75,0.8412197828292847,0.7360634803771973,0.7303555011749268,0.0,0.75,0.6388888888888888,raj guru gajraj mishra
11,who signed the sugauli treaty on behalf of nepal,Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2.0,0.010337377898395,0.0,0.2963711619377136,0.4649715721607208,0.5194005370140076,0.0,0.0,0.0,Chandra Sekher Upadhyaya
12,how many players on an nfl active roster,53,eleven,0.0,0.0110950786620378,0.0,0.4902316927909851,0.1911905854940414,0.2247348427772522,0.0,0.0,0.0,eleven
13,how many players on an nfl active roster,53,46,0.0,0.1121632680296898,0.0,0.8424565196037292,0.4771632552146911,0.5426692962646484,0.0,0.0,0.0,46
14,when did part 2 making a murderer come out,"October 19, 2018",2018,2.0,0.498473733663559,0.5,0.6568765640258789,0.5823584198951721,0.5619446039199829,0.0,0.5,0.3846153846153847,2018
15,who is the guy with arrows in avengers,Hawkeye,trick shot,0.0,0.0094654709100723,0.0,0.2461815774440765,0.1090965047478675,0.1217010170221328,0.0,0.0,0.0,trick shot
16,who is the guy with arrows in avengers,Hawkeye,Golden Archer,0.0,0.0096111046150326,0.0,0.2808843851089477,0.230752095580101,0.2305113971233368,0.0,0.0,0.0,Golden Archer
17,who is the guy with arrows in avengers,Hawkeye,Constantine Drakon,0.0,0.0098699340596795,0.0,0.2736763656139374,0.0999140441417694,0.0657962709665298,0.0,0.0,0.0,Constantine Drakon
18,who is the guy with arrows in avengers,Hawkeye,Thanos,0.0,0.0094337044283747,0.0,0.2641452848911285,0.1345594376325607,0.1565792113542556,0.0,0.0,0.0,Thanos
19,who is the guy with arrows in avengers,Hawkeye,Thor,0.0,0.0096502723172307,0.0,0.2469279021024704,0.2445636987686157,0.2624421417713165,0.0,0.0,0.0,Thor
20,who is the guy with arrows in avengers,Hawkeye,Yondu,1.0,0.0097831925377249,0.0,0.2259149104356765,0.2177891582250595,0.2594457268714905,0.0,0.0,0.0,Yondu
21,how many players can an nfl team have,53-member main roster,eleven,0.0,0.1554889529943466,0.0,0.3208288848400116,0.0795303881168365,0.0667101442813873,0.0,0.0,0.0,eleven
22,how many players can an nfl team have,53-member main roster,a maximum of 53,0.0,0.7806001901626587,0.0,0.4229313731193543,0.7512689828872681,0.7767870426177979,0.0,0.25,0.0,a maximum of 53
23,how many players can an nfl team have,53-member main roster,a maximum of eleven,0.0,0.2297748178243637,0.0,0.3085051476955414,0.1304307281970977,0.0976219847798347,0.0,0.0,0.0,a maximum of eleven
24,how many players can an nfl team have,53-member main roster,11,0.0,0.0390209704637527,0.0,0.3679560422897339,0.0947785004973411,0.058331448584795,0.0,0.0,0.0,11
25,how many players can an nfl team have,53-member main roster,53,2.0,0.7901249527931213,0.0,0.5138146281242371,0.731748104095459,0.6881718635559082,0.0,0.4,0.0,53
26,a fatty acid that has one double bond,oleic acid,monounsaturated fatty acids,0.0,0.2362973839044571,0.0,0.3859464526176453,0.4892295300960541,0.4901900589466095,0.0,0.0,0.1724137931034482,monounsaturated fatty acids
27,a fatty acid that has one double bond,oleic acid,monounsaturated,0.0,0.0573945082724094,0.0,0.235081434249878,0.180346593260765,0.1827907115221024,0.0,0.0,0.0,monounsaturated
28,a fatty acid that has one double bond,oleic acid,stearidonic acid,0.0,0.3600602447986603,0.5,0.6423118710517883,0.5952980518341064,0.6077595353126526,0.0,0.5,0.25,stearidonic acid
29,a fatty acid that has one double bond,oleic acid,alkenes,0.0,0.0434110686182975,0.0,0.2414187937974929,0.4330147504806518,0.46920245885849,0.0,0.0,0.0,alkenes
30,a fatty acid that has one double bond,oleic acid,monounsaturated fat,0.0,0.0117428628727793,0.0,0.2635131478309631,0.2465558052062988,0.2534083724021912,0.0,0.0,0.0,monounsaturated fat
31,a fatty acid that has one double bond,oleic acid,unsaturated fat,2.0,0.0138233723118901,0.0,0.2579720020294189,0.2218825370073318,0.2351543456315994,0.0,0.0,0.0,unsaturated fat
32,who wrote you're a grand ol flag,George M. Cohan,Lee Thomas Miller,0.0,0.0125691732391715,0.0,0.3030564188957214,0.1605620235204696,0.165396362543106,0.0,0.0,0.0,Lee Thomas Miller
33,what vertebral level does the inferior vena cava pass through the diaphragm,the caval opening,right atrium of the heart,0.0,0.0115364110097289,0.0,0.3902344405651093,0.1844296753406524,0.1615021228790283,0.0,0.25,0.1041666666666666,right atrium of the heart
34,what vertebral level does the inferior vena cava pass through the diaphragm,the caval opening,T12,0.0,0.0097542582079768,0.0,0.3357951641082764,0.1143785715103149,0.1154200136661529,0.0,0.0,0.0,T12
35,what vertebral level does the inferior vena cava pass through the diaphragm,the caval opening,t8,2.0,0.0110615044832229,0.0,0.325923889875412,0.113875538110733,0.0997562259435653,0.0,0.0,0.0,t8
36,who played charlotte first husband on sex and the city,Trey MacDougal,evan handler,0.0,0.0093370722606778,0.0,0.2324009388685226,0.1613949835300445,0.1396990120410919,0.0,0.0,0.0,evan handler
37,who played charlotte first husband on sex and the city,Trey MacDougal,Kyle MacLachlan,2.0,0.0751745924353599,0.0,0.393140971660614,0.4650472998619079,0.4544110298156738,0.0,0.0,0.0,Kyle MacLachlan
38,how long can you hold the ball in hurling,not more than four steps,five-second,0.0,0.2812177240848541,0.0,0.3919777572154999,0.1369486600160598,0.1202441975474357,0.0,0.0,0.0,five-second
39,how long can you hold the ball in hurling,not more than four steps,80 minutes,0.0,0.0095646828413009,0.0,0.3157554864883423,0.0787441357970237,0.062758095562458,0.0,0.0,0.0,80 minutes
