answer1,answer2,label,label_1,
Nine,none,0,0,
Amma,chucky,0,0,
Amma,Camille Preaker,0,0,
Amma,Luke,0,0,
Alexandria Ocasio-Cortez,Kevin McCarthy,0,0,
Alexandria Ocasio-Cortez,29,0,0,
Alexandria Ocasio-Cortez,elise stefanik,1,0,
Alexandria Ocasio-Cortez,elise marie stefanik,1,0,
Raj Guru Gajaraj Mishra,Singha Durbar,0,0,
Raj Guru Gajaraj Mishra,Nepal,0,0,
Raj Guru Gajaraj Mishra,raj guru gajraj mishra,2,2,
Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2,1,
53,eleven,0,0,
53,46,0,0,
Hawkeye,trick shot,0,0,
Hawkeye,Golden Archer,0,2,
Hawkeye,Constantine Drakon,0,0,
Hawkeye,Thanos,0,0,
Hawkeye,Thor,0,0,
Hawkeye,Yondu,1,0,
53-member main roster,eleven,0,0,
53-member main roster,a maximum of 53,0,2,
53-member main roster,a maximum of eleven,0,0,
53-member main roster,11,0,0,
53-member main roster,53,2,2,
oleic acid,monounsaturated fatty acids,0,2,
oleic acid,monounsaturated,0,1,
oleic acid,stearidonic acid,0,0,
oleic acid,alkenes,0,0,
oleic acid,monounsaturated fat,0,0,
oleic acid,unsaturated fat,2,1,
George M. Cohan,Lee Thomas Miller,0,0,
the caval opening,right atrium of the heart,0,0,
the caval opening,T12,0,0,
the caval opening,t8,2,2,
Trey MacDougal,evan handler,0,0,
Trey MacDougal,Kyle MacLachlan,2,2,
not more than four steps,five-second,0,0,
not more than four steps,80 minutes,0,0,
not more than four steps,three years,0,0,
not more than four steps,five seconds,0,0,
not more than four steps,four steps,2,2,
Microprocessor without Interlocked Pipelined Stages,instructions per second,0,0,
Microprocessor without Interlocked Pipelined Stages,instruction execution speed,0,1,
Microprocessor without Interlocked Pipelined Stages,MIPS architecture,0,2,
Microprocessor without Interlocked Pipelined Stages,microprocessor without interlocked pipeline stages,2,2,
Microprocessor without Interlocked Pipelined Stages,microprocessor,2,1,
Daniel Mar,tyler florence,0,0,
Daniel Mar,Nick Slater,0,0,
Daniel Mar,Michelle Tribble,0,0,
Daniel Mar,lvaro lvarez,0,0,
Daniel Mar,Hazell Mckenzie,0,0,
Daniel Mar,Vivica,0,0,
Daniel Radcliffe,michael gambon,0,0,
Daniel Radcliffe,alan rickman,0,0,
Daniel Radcliffe,Matthew Broderick,0,0,
Daniel Radcliffe,Daniel Jacob Radcliffe,2,2,
8,furious 7,0,0,
8,The Fast and the Furious,0,0,
8,seven,1,0,
8,10,1,0,
8,6,1,0,
8,7,1,0,
Oct-18,"august 22, 2017",0,0,
Oct-18,2018,0,1,
Oct-18,"March 14, 2017",0,0,
"December 4, 2018","October 8, 1998",0,0,
"December 4, 2018","March 27, 2018",0,0,
"December 4, 2018","January 27, 2018",0,0,
"December 4, 2018",2019,0,0,
"December 4, 2018","may 22, 2018",0,0,
"December 4, 2018","October 10, 2017",0,0,
"December 4, 2018","April 10, 2019",0,0,
John F. Kennedy,former President John F. Kennedy,2,2,
"October 16, 2018","october 17, 2017",1,0,
Indiana,Manarola,0,0,
Indiana,Indiana State University,0,1,
Indiana,"terre haute, indiana",2,1,
Indiana,"Vigo County, Indiana",2,1,
Father Christmas,A Christmas Carol,0,0,
Father Christmas,warmth,1,0,
Father Christmas,peace on Earth and good will toward men,2,0,
Father Christmas,peace on earth,2,0,
"Calgary, Alberta",St. Cloud,0,0,
Oral Torah,the Mishnah,0,2,
Oral Torah,The Mishnah or Mishna,0,2,
Oral Torah,Shulchan Aruch,0,0,
Oral Torah,Deuteronomy,0,2,
Oral Torah,talmud,2,1,
The Pacific standard time zone,01:00 LST,0,0,
The Pacific standard time zone,nine to twelve months,0,0,
The Pacific standard time zone,2:00 a.m.,1,0,
The Pacific standard time zone,8 : 00 p. m.,1,0,
The Pacific standard time zone,6:00 a.m.,1,0,
The Pacific standard time zone,pacific time zone,2,2,
The Pacific standard time zone,Pacific Standard Time,2,2,
2020,as soon as 2019,0,0,
/,file.txt,0,0,
/,directory,0,2,
/,filename,0,0,
/,payroll,0,0,
/,EPUB,0,0,
/,URI,0,0,
/,/ Payroll / Salaries / Managers,2,0,
/,/Payroll/Salaries/Managers,2,0,
France's National Constituent Assembly,1789,1,0,
France's National Constituent Assembly,Thomas Jefferson,2,0,
"December 31, 1907",since 1907,2,1,
"December 31, 1907",1907,2,1,
Eddie Martinez,Steve Hunter,0,0,
Eddie Martinez,Eddie Paul Martinez,2,2,
