id	qid1	sentence1	qid2	sentence2	label
1	10649	0/1/2/3/4/9/6/7/8/5/10/11/12/13	10649	0/1/2/3/4/5/6/7/8/9/10/11/12/13	0
2	289567	0/1/21/3/16/5/6/7/8/9/10/17/12/13/14/15/16/17/18/19/20/21/22/23/24/25	289567	0/22/2/3/(176428,6)/25/6/7/8/9/10/11/12/13/14/15/(456255,6)/11/18/19/20/2/1/23/24/25	1
3	454284	0/1/11/3/11/5/6/1/8/9/10/4/12/13/14/15	454284	0/1/11/3/4/5/6/7/8/9/10/11/12/13/14/15	0
4	80513	0/6/2/3/4/(149054,4):(29683,2):(46504,5)/1/7/8/9/10	80513	0/1/2/3/4/5/6/7/8/9/10	0
5	59097	0/1/2/3/4/5/17/7/20/9/10/11/12/13/14/15/16/17/18/19/8/21	59097	0/1/2/3/4/5/6/19/8/9/10/11/12/2/14/15/13/17/18/19/20/21	0
6	385050	0/24/2/3/4/5/12/7/8/21/10/11/6/13/14/15/16/17/18/19/20/9/22/23/24/25/26/27/28/29	385050	0/1/2/3/4/5/12/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29	0
7	461219	0/1/2/3/4/17/6/7/8/9/10/11/12/13/14/15/16/5/18	461219	0/1/2/(107420,7)/4/17/11/7/8/9/(295480,8):(146278,17):(12825,30)/6/12/13/14/(43382,9)/(72483,3):(373141,12):(362065,13)/5/18	0
8	140795	0/1/2/8/4/5/6/7/3/9/10	140795	0/1/2/3/4/5/6/7/8/9/10	1
9	350769	0/1/2/3/4/5/2/7	350769	0/1/6/3/4/5/6/7	1
10	399966	0/1/2/6/4/5/3/7/8/9/10/11/12/13/8	399966	0/1/2/3/7/5/6/7/14/9/12/11/12/13/14	1
11	530833	0/1/2/3/4/5/10/11/8/9/6/7/12/13/14/15	530833	0/1/2/3/4/5/10/7/8/5/6/11/12/13/14/15	1
12	251360	0/1/2/12/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18	251360	0/1/2/3/4/13/6/7/8/9/10/11/12/5/14/15/16/17/18	0
13	323305	0/1/13/3/4/5/6/7/8/9/10/11/12/2/14/4/16/17	323305	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17	0
14	260118	0/1/2/3/4/5/10/(11412,12):(1203,5)/(410386,10):(121902,5):(130841,8):(317611,9):(141597,10)/(328213,6)/15/16/17/18	260118	0/1/2/3/4/5/(387504,8):(162238,14):(303465,9):(18811,8):(440487,6)/11/(11412,12):(188019,4):(391192,3)/15/16/17/18	1
15	66118	0/1/2/4/2/7	121435	3/0/1/5/3/4/2/3/7/6	1
16	261854	8/9/10/11/12/13/14/15/9/17/18/19/20/21/22/23	261854	8/16/17/18/12/13/4/15/16/10/11/19/20/21/22/23	0
17	202648	0/1/2/3/4/5/6/7	202648	0/1/2/3/6/5/4/7	0
18	387083	11/12/13/14/15/16/17/18/19/2/21/22/23	387083	11/12/13/14/15/16/17/18/22/2/21/19/23	0
19	306335	0/1/13/3/4/5/6/7/8/9/10/11/12/2/14	306335	0/11/12/2/3/4/5/6/7/8/9/10/1/13/14	0
20	423570	0/1/8/3/4/5/6/1/8/9/10/(50384,1):(313859,7)/13/(213426,4)/15/16	423570	0/7/2/3/4/5/6/1/2/9/10/11/12/(285769,8)/15/16	1
21	445356	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17	445356	0/1/2/4/5/3/6/7/8/9/10/(89207,14)/11/12/13/14/15/16/17	0
22	233702	0/1/2/3/17/5/19/7/8/9/10/11/12/13/14/15/16/4/5/6/10	233702	0/1/2/16/17/5/6/7/8/9/20/11/12/13/14/15/3/4/5/6/20	1
23	373591	0/1/13/14/4/5/3/15/8/9/10/11/12/17/14/7/16/24/18/19/22/21/2/23/20/25/26/27	373591	0/1/2/6/4/5/3/7/8/9/10/11/12/13/3/7/8/17/18/19/20/21/22/23/24/25/26/27	0
24	365567	0/1/2/3/15/5/6/7/8/9/10/11/1/13/14/4/16/17/18/19	365567	0/1/2/14/15/5/6/7/8/9/10/11/12/13/3/4/16/17/18/19	0
25	309648	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	309648	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	1
26	451459	0/1/2/3/4/5	451459	0/1/2/3/4/5	1
27	204030	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18	204030	0/1/2/6/11/12/6/7/8/9/10/4/5/13/14/15/16/17/18	1
28	283249	0/1/2/19/4/5/6/28/8/9/10/11/12/13/14/15/16/17/18/3/20/21/22/23/24/25/10/27/7/(78356,14)	283249	0/1/2/3/4/5/6/28/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/7	0
29	398954	0/1/2/3/4/5/6/7/8/9/10	398954	0/1/2/3/(235231,3):(85519,0)/5/6/(123264,25):(412054,29):(241916,12)/10	1
30	38988	0/1/2/3/4/5/6/7/8/9/10	38988	0/1/2/3/4/(230660,7)/5/6/7/8/9/10	1
31	197217	0/1/2/3/4/5/6/7/8/9	197217	0/1/2/8/4/5/6/7/3/9	0
32	373073	18/9/20/0/22/23/24/12/26/27/28/29/30/31	373073	18/9/20/13/22/23/24/25/26/27/28/29/5/31	1
33	392833	0/1/2/10/4/12/6/8/9/7/3/11/5/13/14	392833	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	0
34	204161	0/1/13/3/15/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19	204161	0/1/2/14/4/5/6/7/8/9/10/11/12/2/3/15/16/17/18/19	0
