,question,answer1,answer2,label,sas,f1,bertvanilla,berttrained,bi_encoder,bleu,rouge_L,meteor,answer_encoded_twice
11,who signed the sugauli treaty on behalf of nepal,Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2.0,0.010337377898395,0.0,0.2963711619377136,0.4649715721607208,0.5194005370140076,0.0,0.0,0.0,Chandra Sekher Upadhyaya
31,a fatty acid that has one double bond,oleic acid,unsaturated fat,2.0,0.0138233723118901,0.0,0.2579720020294189,0.2218825370073318,0.2351543456315994,0.0,0.0,0.0,unsaturated fat
35,what vertebral level does the inferior vena cava pass through the diaphragm,the caval opening,t8,2.0,0.0110615044832229,0.0,0.325923889875412,0.113875538110733,0.0997562259435653,0.0,0.0,0.0,t8
37,who played charlotte first husband on sex and the city,Trey MacDougal,Kyle MacLachlan,2.0,0.0751745924353599,0.0,0.393140971660614,0.4650472998619079,0.4544110298156738,0.0,0.0,0.0,Kyle MacLachlan
96,what is the symbolism of the ghost of christmas present,Father Christmas,peace on Earth and good will toward men,2.0,0.0093007059767842,0.0,0.2809501886367798,0.1871463060379028,0.1663769334554672,0.0,0.0,0.0,peace on Earth and good will toward men
97,what is the symbolism of the ghost of christmas present,Father Christmas,peace on earth,2.0,0.0094820754602551,0.0,0.2974020540714264,0.1882288604974746,0.1966357082128524,0.0,0.0,0.0,peace on earth
120,what is an example of a file path,/,/ Payroll / Salaries / Managers,2.0,0.1006873399019241,0.0,0.6621384024620056,0.3084807395935058,0.2171469330787658,0.0,0.0,0.0909090909090909,/ Payroll / Salaries / Managers
121,what is an example of a file path,/,/Payroll/Salaries/Managers,2.0,0.1099714487791061,0.0,0.6621384024620056,0.2389983385801315,0.1430858969688415,0.0,0.0,0.0,/Payroll/Salaries/Managers
123,who issued the declaration of the rights of man when was it written,France's National Constituent Assembly,Thomas Jefferson,2.0,0.009738614782691,0.0,0.2325367331504821,0.1983895897865295,0.1922347247600555,0.0,0.0,0.0,Thomas Jefferson
183,where did the name jack o lantern come from,East England,irish legend of stingy jack,2.0,0.0091818869113922,0.0,0.2632782161235809,0.1161056458950042,0.085284411907196,0.0,0.0,0.0,irish legend of stingy jack
184,where did the name jack o lantern come from,East England,Stingy Jack,2.0,0.0094363158568739,0.0,0.2415320575237274,0.1134722158312797,0.1286551058292389,0.0,0.0,0.0,Stingy Jack
185,where did the name jack o lantern come from,East England,Irish legend,2.0,0.0094016501680016,0.0,0.2869452238082886,0.0782291814684867,0.0929202288389206,0.0,0.0,0.0,Irish legend
186,where did the name jack o lantern come from,East England,Ireland,2.0,0.0119357155635952,0.0,0.4570866823196411,0.1165699958801269,0.1567592471837997,0.0,0.0,0.0,Ireland
208,where was the tv series pie in the sky filmed,Marlow in Buckinghamshire,bray studios,2.0,0.0094238445162773,0.0,0.27871373295784,0.2309719324111938,0.230004608631134,0.0,0.0,0.0,bray studios
