,question,answer1,answer2,label,sas,f1,bertvanilla,berttrained,bi_encoder,bleu,rouge_L,meteor,answer_encoded_twice
22,how many players can an nfl team have,53-member main roster,a maximum of 53,0.0,0.7806001901626587,0.0,0.4229313731193543,0.7512689828872681,0.7767870426177979,0.0,0.25,0.0,a maximum of 53
99,comprehensive written version of the jewish oral law,Oral Torah,the Mishnah,0.0,0.6783072352409363,0.0,0.2859534025192261,0.4131068587303161,0.4104260504245758,0.0,0.0,0.0,the Mishnah
276,when was the last time dallas went to the superbowl,1995,"1993, 1995",0.0,0.5578237175941467,0.6666666666666666,0.8299537897109985,0.7930427193641663,0.8023322224617004,0.0,0.6666666666666666,0.1785714285714285,"1993, 1995"
289,how does the narrator describe perverseness in the black cat,the spirit of perverseness,The Imp of the Perverse,0.0,0.792507529258728,0.3333333333333333,0.7611310482025146,0.3210025131702423,0.3374300003051758,0.0,0.4444444444444445,0.3061224489795918,The Imp of the Perverse
437,how many games do you need to play to get a stanley cup ring,best-of-seven,best - of - seven,0.0,0.9650163054466248,0.0,1.0,0.9260611534118652,0.941476047039032,0.0,1.0,0.0,best - of - seven
438,how many games do you need to play to get a stanley cup ring,best-of-seven,four - of - seven - games,0.0,0.6079795956611633,0.0,0.7862017154693604,0.6343657970428467,0.6346375346183777,0.0,0.5714285714285715,0.0,four - of - seven - games
476,where is the story of the talking donkey in the bible,Numbers 22:28,Numbers 22\u201324,0.0,0.5415830016136169,0.5,0.5448606610298157,0.6827508807182312,0.6659353971481323,0.0,0.6666666666666666,0.25,Numbers 22â24
513,where does the scent of vanilla come from,orchids of the genus Vanilla,vanillin,0.0,0.5208497643470764,0.0,0.2868532538414001,0.4449806213378906,0.445816308259964,0.0,0.0,0.0,vanillin
524,where did the pilgrims land in the americas,"Plymouth, Massachusetts",Plymouth Colony,0.0,0.6368352770805359,0.5,0.6028499603271484,0.7286056876182556,0.7005401253700256,0.0,0.5,0.2380952380952381,Plymouth Colony
683,sabzi mandi railway station near by metro station,Pratap Nagar Metro Station,Partap Nagar,0.0,0.6093214750289917,0.3333333333333333,0.4157010018825531,0.7148418426513672,0.7412440180778503,0.0,0.3333333333333333,0.2272727272727272,Partap Nagar
