,answer1,answer2,label,sas,f1,bertvanilla,berttrained,bi_encoder,bleu,rouge_L,meteor
0,Nine,none,0.0,0.0387839078903198,0.0,0.4134675860404968,0.2348921746015548,0.2605519592761993,0.0,0.0,0.0
1,Amma,chucky,0.0,0.0094938883557915,0.0,0.2411138713359833,0.0952489376068115,0.1280857622623443,0.0,0.0,0.0
2,Amma,Camille Preaker,0.0,0.0097339721396565,0.0,0.2194188088178634,0.2501915395259857,0.247298389673233,0.0,0.0,0.0
3,Amma,Luke,0.0,0.0095621449872851,0.0,0.2258883267641067,0.1452979892492294,0.2079924941062927,0.0,0.0,0.0
4,Alexandria Ocasio-Cortez,Kevin McCarthy,0.0,0.0096416855230927,0.0,0.2235110849142074,0.1595001816749572,0.1085907220840454,0.0,0.0,0.0
5,Alexandria Ocasio-Cortez,29,0.0,0.0134932864457368,0.0,0.234239250421524,0.0952885672450065,0.0729081258177757,0.0,0.0,0.0
6,Alexandria Ocasio-Cortez,elise stefanik,1.0,0.0096451006829738,0.0,0.2263774424791336,0.3831893801689148,0.3739798963069916,0.0,0.0,0.0
7,Alexandria Ocasio-Cortez,elise marie stefanik,1.0,0.0094813369214534,0.0,0.2264496684074401,0.3469507694244385,0.3318277597427368,0.0,0.0,0.0
8,Raj Guru Gajaraj Mishra,Singha Durbar,0.0,0.0095011191442608,0.0,0.3137847185134888,0.3531668782234192,0.3879543542861938,0.0,0.0,0.0
9,Raj Guru Gajaraj Mishra,Nepal,0.0,0.009666372090578,0.0,0.2566846907138824,0.1366287767887115,0.1228721439838409,0.0,0.0,0.0
10,Raj Guru Gajaraj Mishra,raj guru gajraj mishra,2.0,0.9709824919700624,0.75,0.8412197828292847,0.7360634803771973,0.7303555011749268,0.0,0.75,0.6388888888888888
11,Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2.0,0.010337377898395,0.0,0.2963711619377136,0.4649715721607208,0.5194005370140076,0.0,0.0,0.0
12,53,eleven,0.0,0.0110950786620378,0.0,0.4902316927909851,0.1911905854940414,0.2247348427772522,0.0,0.0,0.0
13,53,46,0.0,0.1121632680296898,0.0,0.8424565196037292,0.4771632552146911,0.5426692962646484,0.0,0.0,0.0
14,Hawkeye,trick shot,0.0,0.0094654709100723,0.0,0.2461815774440765,0.1090965047478675,0.1217010170221328,0.0,0.0,0.0
15,Hawkeye,Golden Archer,0.0,0.0096111046150326,0.0,0.2808843851089477,0.230752095580101,0.2305113971233368,0.0,0.0,0.0
16,Hawkeye,Constantine Drakon,0.0,0.0098699340596795,0.0,0.2736763656139374,0.0999140441417694,0.0657962709665298,0.0,0.0,0.0
17,Hawkeye,Thanos,0.0,0.0094337044283747,0.0,0.2641452848911285,0.1345594376325607,0.1565792113542556,0.0,0.0,0.0
18,Hawkeye,Thor,0.0,0.0096502723172307,0.0,0.2469279021024704,0.2445636987686157,0.2624421417713165,0.0,0.0,0.0
19,Hawkeye,Yondu,1.0,0.0097831925377249,0.0,0.2259149104356765,0.2177891582250595,0.2594457268714905,0.0,0.0,0.0
20,53-member main roster,eleven,0.0,0.1554889529943466,0.0,0.3208288848400116,0.0795303881168365,0.0667101442813873,0.0,0.0,0.0
21,53-member main roster,a maximum of 53,0.0,0.7806001901626587,0.0,0.4229313731193543,0.7512689828872681,0.7767870426177979,0.0,0.25,0.0
22,53-member main roster,a maximum of eleven,0.0,0.2297748178243637,0.0,0.3085051476955414,0.1304307281970977,0.0976219847798347,0.0,0.0,0.0
23,53-member main roster,11,0.0,0.0390209704637527,0.0,0.3679560422897339,0.0947785004973411,0.058331448584795,0.0,0.0,0.0
24,53-member main roster,53,2.0,0.7901249527931213,0.0,0.5138146281242371,0.731748104095459,0.6881718635559082,0.0,0.4,0.0
25,oleic acid,monounsaturated fatty acids,0.0,0.2362973839044571,0.0,0.3859464526176453,0.4892295300960541,0.4901900589466095,0.0,0.0,0.17241379310344826
26,oleic acid,monounsaturated,0.0,0.0573945082724094,0.0,0.235081434249878,0.180346593260765,0.1827907115221024,0.0,0.0,0.0
27,oleic acid,stearidonic acid,0.0,0.3600602447986603,0.5,0.6423118710517883,0.5952980518341064,0.6077595353126526,0.0,0.5,0.25
28,oleic acid,alkenes,0.0,0.0434110686182975,0.0,0.2414187937974929,0.4330147504806518,0.46920245885849,0.0,0.0,0.0
29,oleic acid,monounsaturated fat,0.0,0.0117428628727793,0.0,0.2635131478309631,0.2465558052062988,0.2534083724021912,0.0,0.0,0.0
30,oleic acid,unsaturated fat,2.0,0.0138233723118901,0.0,0.2579720020294189,0.2218825370073318,0.2351543456315994,0.0,0.0,0.0
31,George M. Cohan,Lee Thomas Miller,0.0,0.0125691732391715,0.0,0.3030564188957214,0.1605620235204696,0.165396362543106,0.0,0.0,0.0
32,the caval opening,right atrium of the heart,0.0,0.0115364110097289,0.0,0.3902344405651093,0.1844296753406524,0.1615021228790283,0.0,0.25,0.10416666666666666
33,the caval opening,T12,0.0,0.0097542582079768,0.0,0.3357951641082764,0.1143785715103149,0.1154200136661529,0.0,0.0,0.0
34,the caval opening,t8,2.0,0.0110615044832229,0.0,0.325923889875412,0.113875538110733,0.0997562259435653,0.0,0.0,0.0
35,Trey MacDougal,evan handler,0.0,0.0093370722606778,0.0,0.2324009388685226,0.1613949835300445,0.1396990120410919,0.0,0.0,0.0
36,Trey MacDougal,Kyle MacLachlan,2.0,0.0751745924353599,0.0,0.393140971660614,0.4650472998619079,0.4544110298156738,0.0,0.0,0.0
37,not more than four steps,five-second,0.0,0.2812177240848541,0.0,0.3919777572154999,0.1369486600160598,0.1202441975474357,0.0,0.0,0.0
38,not more than four steps,80 minutes,0.0,0.0095646828413009,0.0,0.3157554864883423,0.0787441357970237,0.062758095562458,0.0,0.0,0.0
39,not more than four steps,three years,0.0,0.0095381494611501,0.0,0.445336788892746,0.2480487674474716,0.2664026916027069,0.0,0.0,0.0
40,not more than four steps,five seconds,0.0,0.1451586484909057,0.0,0.4521482288837433,0.1413923949003219,0.1292275786399841,0.0,0.0,0.0
41,not more than four steps,four steps,2.0,0.9043967127799988,0.5714285714285715,0.6886792778968811,0.7447333931922913,0.7170248031616211,0.0,0.5714285714285715,0.8152173913043478
42,Microprocessor without Interlocked Pipelined Stages,instructions per second,0.0,0.00942406617105,0.0,0.2611948847770691,0.2334188371896743,0.2178138792514801,0.0,0.0,0.0
43,Microprocessor without Interlocked Pipelined Stages,instruction execution speed,0.0,0.0134944673627614,0.0,0.3096581399440765,0.2806032001972198,0.2836106717586517,0.0,0.0,0.0
44,Microprocessor without Interlocked Pipelined Stages,MIPS architecture,0.0,0.2316655814647674,0.0,0.2783468067646026,0.2198973000049591,0.186785414814949,0.0,0.0,0.0
45,Microprocessor without Interlocked Pipelined Stages,microprocessor without interlocked pipeline stages,2.0,0.9727280139923096,0.8000000000000002,0.9777119159698486,0.9092610478401184,0.925561547279358,0.0,0.8000000000000002,0.996
46,Microprocessor without Interlocked Pipelined Stages,microprocessor,2.0,0.5923792719841003,0.3333333333333333,0.6998454332351685,0.6176843643188477,0.5260521769523621,0.0,0.33333333333333337,0.35714285714285715
47,Daniel Mar,tyler florence,0.0,0.0101612424477934,0.0,0.3192111253738403,0.1127632781863212,0.0901759415864944,0.0,0.0,0.0
48,Daniel Mar,Nick Slater,0.0,0.0106725813820958,0.0,0.2787310183048248,0.163752406835556,0.1691763401031494,0.0,0.0,0.0
49,Daniel Mar,Michelle Tribble,0.0,0.0101717989891767,0.0,0.2870376408100128,0.1937403827905655,0.2121888548135757,0.0,0.0,0.0
50,Daniel Mar,lvaro lvarez,0.0,0.0116869928315281,0.0,0.235895425081253,0.1204266026616096,0.1138339936733245,0.0,0.0,0.0
51,Daniel Mar,Hazell Mckenzie,0.0,0.0108488732948899,0.0,0.2790279686450958,0.0908498764038086,0.0745364353060722,0.0,0.0,0.0
52,Daniel Mar,Vivica,0.0,0.009672550484538,0.0,0.2540932595729828,0.117453821003437,0.1263363510370254,0.0,0.0,0.0
53,Daniel Radcliffe,michael gambon,0.0,0.0100514153018593,0.0,0.321113109588623,0.1914027035236358,0.1679724007844925,0.0,0.0,0.0
54,Daniel Radcliffe,alan rickman,0.0,0.0110214995220303,0.0,0.2437750250101089,0.280658096075058,0.2901588976383209,0.0,0.0,0.0
55,Daniel Radcliffe,Matthew Broderick,0.0,0.0180458407849073,0.0,0.3042385280132293,0.2089733034372329,0.213663250207901,0.0,0.0,0.0
56,Daniel Radcliffe,Daniel Jacob Radcliffe,2.0,0.8525872826576233,0.8,0.8702221512794495,0.950179398059845,0.953039288520813,0.0,0.8,0.3448275862068965
57,8,furious 7,0.0,0.0419414229691028,0.0,0.6302134394645691,0.3885974586009979,0.4139000773429871,0.0,0.0,0.0
58,8,The Fast and the Furious,0.0,0.009612638503313,0.0,0.397975504398346,0.1223778426647186,0.0866870209574699,0.0,0.0,0.0
59,8,seven,1.0,0.2539258599281311,0.0,0.663648784160614,0.4980398416519165,0.5511299967765808,0.0,0.0,0.0
60,8,10,1.0,0.173138216137886,0.0,0.8245948553085327,0.476845234632492,0.5240675806999207,0.0,0.0,0.0
61,8,6,1.0,0.1403345614671707,0.0,0.8514872789382935,0.4949466288089752,0.5368789434432983,0.0,0.0,0.0
62,8,7,1.0,0.2246240377426147,0.0,0.8609349727630615,0.5968295931816101,0.6436831951141357,0.0,0.0,0.0
63,October 2018,"august 22, 2017",0.0,0.1391804218292236,0.0,0.6492340564727783,0.2824919819831848,0.2730712890625,0.0,0.0,0.0
64,October 2018,2018,0.0,0.4702825248241425,0.6666666666666666,0.7710959315299988,0.773870050907135,0.7839194536209106,0.0,0.6666666666666666,0.45454545454545453
65,October 2018,"March 14, 2017",0.0,0.0543514043092727,0.0,0.6290730237960815,0.1535763442516327,0.1278300881385803,0.0,0.0,0.0
66,"December 4, 2018","October 8, 1998",0.0,0.0105776330456137,0.0,0.7785517573356628,0.3377441465854645,0.3389934599399567,0.0,0.0,0.125
67,"December 4, 2018","March 27, 2018",0.0,0.2688397765159607,0.3333333333333333,0.8400014042854309,0.3581910729408264,0.328208327293396,0.0,0.3333333333333333,0.46875
68,"December 4, 2018","January 27, 2018",0.0,0.2576855421066284,0.3333333333333333,0.850386381149292,0.2963823080062866,0.2525828778743744,0.0,0.3333333333333333,0.46875
69,"December 4, 2018",2019,0.0,0.0714198797941207,0.0,0.4728742837905884,0.3222581744194031,0.3101641535758972,0.0,0.0,0.0
70,"December 4, 2018","may 22, 2018",0.0,0.2682216167449951,0.3333333333333333,0.8297675848007202,0.3336248397827148,0.2786566913127899,0.0,0.3333333333333333,0.46875
71,"December 4, 2018","October 10, 2017",0.0,0.1246686726808548,0.0,0.8219947218894958,0.2161198258399963,0.1942431032657623,0.0,0.0,0.125
72,"December 4, 2018","April 10, 2019",0.0,0.0850668400526046,0.0,0.7562996745109558,0.3546322584152221,0.3521399199962616,0.0,0.0,0.125
73,John F. Kennedy,former President John F. Kennedy,2.0,0.8481739163398743,0.7499999999999999,0.8206513524055481,0.925979495048523,0.9457104206085204,0.0,0.7499999999999999,0.6134259259259259
74,"October 16, 2018","october 17, 2017",1.0,0.2978692948818207,0.3333333333333333,0.9063251614570618,0.540183961391449,0.5291574001312256,0.0,0.3333333333333333,0.25
75,Indiana,Manarola,0.0,0.009519275277853,0.0,0.2854480445384979,0.1469562500715255,0.189671516418457,0.0,0.0,0.0
76,Indiana,Indiana State University,0.0,0.1124767288565635,0.5,0.6129893064498901,0.8740702867507935,0.8948807716369629,0.0,0.5,0.17857142857142855
77,Indiana,"terre haute, indiana",2.0,0.7632428407669067,0.5,0.6453594565391539,0.3238370716571808,0.3246485590934753,0.0,0.5,0.13513513513513511
78,Indiana,"Vigo County, Indiana",2.0,0.4291910529136657,0.5,0.5418712496757507,0.7809483408927917,0.7872228026390076,0.0,0.5,0.13513513513513511
79,Father Christmas,A Christmas Carol,0.0,0.2647759020328522,0.5,0.5997858047485352,0.7375620603561401,0.7459084391593933,0.0,0.4,0.17241379310344826
80,Father Christmas,warmth,1.0,0.0098966993391513,0.0,0.3347680568695068,0.2824605405330658,0.3104891777038574,0.0,0.0,0.0
81,Father Christmas,peace on Earth and good will toward men,2.0,0.0093007059767842,0.0,0.2809501886367798,0.1871463060379028,0.1663769334554672,0.0,0.0,0.0
82,Father Christmas,peace on earth,2.0,0.0094820754602551,0.0,0.2974020540714264,0.1882288604974746,0.1966357082128524,0.0,0.0,0.0
83,"Calgary, Alberta",St. Cloud,0.0,0.0114439707249403,0.0,0.3115860223770141,0.2785987257957458,0.2848654985427856,0.0,0.0,0.0
84,Oral Torah,the Mishnah,0.0,0.6783072352409363,0.0,0.2859534025192261,0.4131068587303161,0.4104260504245758,0.0,0.0,0.0
85,Oral Torah,The Mishnah or Mishna,0.0,0.429699182510376,0.0,0.2729541957378387,0.2740266919136047,0.22189661860466,0.0,0.0,0.0
86,Oral Torah,Shulchan Aruch,0.0,0.1278787702322006,0.0,0.2275969982147217,0.1769896149635315,0.1721990704536438,0.0,0.0,0.0
87,Oral Torah,Deuteronomy,0.0,0.292280912399292,0.0,0.2430209368467331,0.4002319872379303,0.4587117433547974,0.0,0.0,0.0
88,Oral Torah,talmud,2.0,0.4865864217281342,0.0,0.5021771192550659,0.5472493171691895,0.5688251256942749,0.0,0.0,0.0
89,The Pacific standard time zone,01:00 LST,0.0,0.2309440821409225,0.0,0.2498146891593933,0.1885881572961807,0.1755097210407257,0.0,0.0,0.0
90,The Pacific standard time zone,nine to twelve months,0.0,0.0095606185495853,0.0,0.2941902577877045,0.1711373031139373,0.1484082043170929,0.0,0.0,0.0
91,The Pacific standard time zone,2:00 a.m.,1.0,0.0612978301942348,0.0,0.2954652011394501,0.1049334332346916,0.0672226995229721,0.0,0.0,0.0
92,The Pacific standard time zone,8 : 00 p. m.,1.0,0.1222650334239006,0.0,0.2764405906200409,0.1745521426200866,0.1624982357025146,0.0,0.0,0.0
93,The Pacific standard time zone,6:00 a.m.,1.0,0.073748730123043,0.0,0.2934584021568298,0.1058355644345283,0.0869730710983276,0.0,0.0,0.0
94,The Pacific standard time zone,pacific time zone,2.0,0.9115728735923768,0.8571428571428571,0.8347673416137695,0.7112861275672913,0.7195382118225098,0.0,0.7499999999999999,0.7986111111111112
95,The Pacific standard time zone,Pacific Standard Time,2.0,0.9612677693367004,0.8571428571428571,0.8233665823936462,0.8436141014099121,0.8481775522232056,0.0,0.7499999999999999,0.920138888888889
96,2020,as soon as 2019,0.0,0.2670963704586029,0.0,0.5310407280921936,0.3841597735881805,0.4075278639793396,0.0,0.0,0.0
97,/,file.txt,0.0,0.0198471173644065,0.0,0.3351028263568878,0.2908427715301513,0.3072244226932525,0.0,0.0,0.0
98,/,directory,0.0,0.1787128001451492,0.0,0.3603436946868897,0.3892390727996826,0.4237583279609679,0.0,0.0,0.0
99,/,filename,0.0,0.0529873222112655,0.0,0.2681831419467926,0.3225284218788147,0.35698202252388,0.0,0.0,0.0
100,/,payroll,0.0,0.0221025925129652,0.0,0.3534673452377319,0.3567383885383606,0.4103894531726837,0.0,0.0,0.0
101,/,EPUB,0.0,0.0114483786746859,0.0,0.2640442848205566,0.2792068123817444,0.2975329160690308,0.0,0.0,0.0
102,/,URI,0.0,0.0249315109103918,0.0,0.2766837775707245,0.454067051410675,0.4900037050247192,0.0,0.0,0.0
103,/,/ Payroll / Salaries / Managers,2.0,0.1006873399019241,0.0,0.6621384024620056,0.3084807395935058,0.2171469330787658,0.0,0.0,0.0909090909090909
104,/,/Payroll/Salaries/Managers,2.0,0.1099714487791061,0.0,0.6621384024620056,0.2389983385801315,0.1430858969688415,0.0,0.0,0.0
105,France's National Constituent Assembly,1789,1.0,0.0099018402397632,0.0,0.3525572717189789,0.207374170422554,0.2359848320484161,0.0,0.0,0.0
106,France's National Constituent Assembly,Thomas Jefferson,2.0,0.009738614782691,0.0,0.2325367331504821,0.1983895897865295,0.1922347247600555,0.0,0.0,0.0
107,"December 31, 1907",since 1907,2.0,0.6002814769744873,0.4,0.5358258485794067,0.6844785809516907,0.6667091250419617,0.0,0.4,0.22727272727272727
108,"December 31, 1907",1907,2.0,0.6851145029067993,0.5,0.6021348834037781,0.7125685811042786,0.7024693489074707,0.0,0.5,0.3846153846153847
109,Eddie Martinez,Steve Hunter,0.0,0.0101753147318959,0.0,0.3679463267326355,0.1365203410387039,0.1105861291289329,0.0,0.0,0.0
110,Eddie Martinez,Eddie Paul Martinez,2.0,0.8445164561271667,0.8,0.8485063314437866,0.9432839155197144,0.9514933228492736,0.0,0.8,0.3448275862068965
111,No taxation without representation,declaration of independence,0.0,0.00938899256289,0.0,0.3409588932991028,0.2662905156612396,0.2581376135349273,0.0,0.0,0.0
112,No taxation without representation,olive branch petition,0.0,0.0097793359309434,0.0,0.2903733551502228,0.0657683238387107,0.0198918413370847,0.0,0.0,0.0
113,No taxation without representation,Industrial Revolution,0.0,0.0090078497305512,0.0,0.2721984386444092,0.1512350291013717,0.1404184699058532,0.0,0.0,0.0
114,No taxation without representation,Battles of Lexington and Concord,0.0,0.0095266867429018,0.0,0.3045129776000977,0.0565320737659931,0.014587627723813,0.0,0.0,0.0
115,Jean-Jacques Rousseau,Jean - Jacques Rousseau,2.0,0.9577849507331848,0.4,1.0000001192092896,0.8905760049819946,0.9064691662788392,0.0,1.0,0.13157894736842105
116,the governor,the Army National Guard,0.0,0.0093180108815431,0.0,0.4990695714950562,0.2588829696178436,0.2792394757270813,0.0,0.3333333333333333,0.13157894736842105
117,the governor,state or territorial governor,1.0,0.7343652248382568,0.4,0.599443256855011,0.6958594918251038,0.6604005098342896,0.0,0.3333333333333333,0.13157894736842105
118,the governor,the state adjutant general,1.0,0.0265682656317949,0.0,0.5829812288284302,0.4559802114963531,0.46443971991539,0.0,0.3333333333333333,0.13157894736842105
119,the governor,adjutant general,1.0,0.0094765285030007,0.0,0.4214012026786804,0.2821643650531769,0.3027177155017853,0.0,0.0,0.0
120,the governor,the President,1.0,0.0228720158338546,0.0,0.776655375957489,0.4652180969715118,0.5072402954101562,0.0,0.5,0.25
121,Hermes,Perseus,0.0,0.0108489347621798,0.0,0.2438407242298126,0.3560841083526611,0.3830489814281464,0.0,0.0,0.0
122,Hermes,pele,0.0,0.0113730058073997,0.0,0.2740994691848755,0.3001816570758819,0.3632959723472595,0.0,0.0,0.0
123,Hermes,Lou,0.0,0.012142788618803,0.0,0.2571722865104675,0.1855734288692474,0.1827172338962555,0.0,0.0,0.0
