,answer1,answer2,label,Explanation,sas,f1,berttrained,bertvanilla,bi_encoder,bleu,rouge_L,meteor,new_bi_encoder,new_berttrained,answer_1_len,answer_2_len
52,DVB-S2,DVB-compliant MPEG-2,0,,0.626850009,0,0.796634078,0.710054636,0.822546363,0,0.333333333,0,0.690094709,0.69391465,6,20
125,climate,temperatures,0,,0.532354772,0,0.508401632,0.60850513,0.596487164,0,0,0,0.494172245,0.46226972,7,12
423,prices,function of market price of skill,0,,0.5432868,0,0.437003314,0.53203094,0.441902161,0,0,0.090909091,0.481833994,0.49941576,6,33
445,larger fortunes,wealth condensation,0,,0.561696291,0,0.364299178,0.325810909,0.35841319,0,0,0,0.307404637,0.32015854,15,19
514,prime ideals,prime elements,0,,0.585963011,0.5,0.703679681,0.720820844,0.735387206,0,0.5,0.25,0.581654847,0.5692709,12,14
518,only the single number 1,eliminate all multiples of 1,0,,0.521499872,0.222222222,0.437089205,0.450111121,0.422563612,0,0.2,0.1,0.464767098,0.46282548,24,28
710,applied,applied force,0,,0.756903827,0.666666667,0.521687865,0.703014255,0.543223262,0,0.666666667,0.263157895,0.458749294,0.48772952,7,13
119,ozone,Trioxygen,2,,0.01010678,0,0.413081437,0.26027891,0.432235956,0,0,0,0.247936577,0.23999692,5,9
137,Decompression sickness,"bubbles of inert gas, mostly nitrogen and helium, forming in their blood",2,,0.008929037,0,0.148505077,0.287972212,0.104989491,0,0,0,0.036100652,0.09671005,22,72
208,colloblasts,retractable tentacles fringed with tentilla,2,,0.091399759,0,0.220928058,0.247932196,0.21599482,0,0,0,0.213754296,0.20650768,11,43
221,more or less rounded,egg-shaped,2,,0.136364609,0,0.329962671,0.308545262,0.305259824,0,0,0,0.293587327,0.31858376,20,10
255,100–106 °F,38–41 °C,2,Encoding,0.10163381,0,0.198634461,0.658355236,0.147199184,0,0,0,0.115035355,0.17203604,10,8
363,defiant speech,allocution,2,,0.009397608,0,0.14728044,0.262198478,0.151311561,0,0,0,0.10548839,0.117647715,14,10
535,Gaulish name Rēnos,Rhenus,2,Translation,0.132584751,0,0.558182478,0.239854634,0.581724405,0,0,0,0.314420044,0.3227204,18,6
542,Lake Rhine,Seerhein,2,Translation,0.009677041,0,0.440859169,0.27770412,0.485439956,0,0,0,0.331814021,0.32613555,10,8
553,Old Rhine,Oude Rijn,2,Translation,0.179881677,0,0.898277998,0.232175857,0.913223982,0,0,0,0.562921286,0.56743246,9,9
