,question,answer1,answer2,label_1,label,Explanation,Answer similarity,sas,f1,bertvanilla,berttrained,bi_encoder,bleu,rouge_L,meteor,answer_encoded_twice
11,who signed the sugauli treaty on behalf of nepal,Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2,2,Incomplete answer,,0.010337378,0,0.296371162,0.464971572,0.519400537,0,0,0,Chandra Sekher Upadhyaya
31,a fatty acid that has one double bond,oleic acid,unsaturated fat,2,2,Chemical term,,0.013823372,0,0.257972002,0.221882537,0.235154346,0,0,0,unsaturated fat
35,what vertebral level does the inferior vena cava pass through the diaphragm,the caval opening,t8,2,2,Medical term,,0.011061504,0,0.32592389,0.113875538,0.099756226,0,0,0,t8
37,who played charlotte first husband on sex and the city,Trey MacDougal,Kyle MacLachlan,2,2,Co-reference,,0.075174592,0,0.393140972,0.4650473,0.45441103,0,0,0,Kyle MacLachlan
96,what is the symbolism of the ghost of christmas present,Father Christmas,peace on Earth and good will toward men,2,2,Wrong gold label,,0.009300706,0,0.280950189,0.187146306,0.166376933,0,0,0,peace on Earth and good will toward men
97,what is the symbolism of the ghost of christmas present,Father Christmas,peace on earth,2,2,Wrong gold label,,0.009482075,0,0.297402054,0.18822886,0.196635708,0,0,0,peace on earth
120,what is an example of a file path,/,/ Payroll / Salaries / Managers,2,2,Wrong gold label,,0.10068734,0,0.662138402,0.30848074,0.217146933,0,0,0.090909091,/ Payroll / Salaries / Managers
121,what is an example of a file path,/,/Payroll/Salaries/Managers,2,2,Wrong gold label,,0.109971449,0,0.662138402,0.238998339,0.143085897,0,0,0,/Payroll/Salaries/Managers
123,who issued the declaration of the rights of man when was it written,France's National Constituent Assembly,Thomas Jefferson,1,2,Different levels of precision,,0.009738615,0,0.232536733,0.19838959,0.192234725,0,0,0,Thomas Jefferson
183,where did the name jack o lantern come from,East England,irish legend of stingy jack,2,2,Imprecise question,,0.009181887,0,0.263278216,0.116105646,0.085284412,0,0,0,irish legend of stingy jack
184,where did the name jack o lantern come from,East England,Stingy Jack,2,2,Imprecise question,,0.009436316,0,0.241532058,0.113472216,0.128655106,0,0,0,Stingy Jack
185,where did the name jack o lantern come from,East England,Irish legend,2,2,Imprecise question,,0.00940165,0,0.286945224,0.078229181,0.092920229,0,0,0,Irish legend
186,where did the name jack o lantern come from,East England,Ireland,2,2,Imprecise question,,0.011935716,0,0.457086682,0.116569996,0.156759247,0,0,0,Ireland
208,where was the tv series pie in the sky filmed,Marlow in Buckinghamshire,bray studios,2,2,Spatial,,0.009423845,0,0.278713733,0.230971932,0.230004609,0,0,0,bray studios
209,where was the tv series pie in the sky filmed,Marlow in Buckinghamshire,Bisham in East Berkshire,2,2,Spatial,,0.011757813,0.285714286,0.464833826,0.449503213,0.426208615,0,0.285714286,0.128205128,Bisham in East Berkshire
210,where was the tv series pie in the sky filmed,Marlow in Buckinghamshire,Berkshire,2,2,Spatial,,0.021219729,0,0.413924515,0.410481274,0.376904756,0,0,0,Berkshire
211,where was the tv series pie in the sky filmed,Marlow in Buckinghamshire,"bray studios at water oakley, near windsor in berkshire",2,2,Spatial,,0.010403154,0.166666667,0.431874126,0.282017499,0.230840907,0,0.166666667,0.053763441,"bray studios at water oakley, near windsor in berkshire"
212,where was the tv series pie in the sky filmed,Marlow in Buckinghamshire,Water Oakley,1,2,Spatial,,0.009722156,0,0.343219995,0.204885915,0.188511729,0,0,0,Water Oakley
213,where was the tv series pie in the sky filmed,Marlow in Buckinghamshire,Oakley Court,1,2,Spatial,,0.009737603,0,0.309107095,0.205311581,0.186802715,0,0,0,Oakley Court
233,where did the french east india company first established in india,1664,Surat,2,2,Wrong gold label,,0.009474026,0,0.290732414,0.129755944,0.161738381,0,0,0,Surat
236,what is the scientific name for the shoulder bone,shoulder blade,scapula,2,2,Medical term,,0.009080346,0,0.245353684,0.289323658,0.30154711,0,0,0,scapula
271,who played the role of kilvish in shaktimaan,Surendra Pal,mukesh khanna,2,2,Names,,0.012953024,0,0.237479389,0.329914004,0.335995287,0,0,0,mukesh khanna
273,in which channel does koffee with karan comes,Star World India,Star One,2,2,Multiple correct answers,,0.240456894,0.4,0.499116868,0.529915333,0.519884825,0,0.4,0.238095238,Star One
295,how does the narrator describe perverseness in the black cat,the spirit of perverseness,alcoholism,2,2,Wrong gold label,,0.009878359,0,0.368879825,0.261986196,0.26350379,0,0,0,alcoholism
325,what type of community is brown's town,town,agricultural,2,2,Wrong gold label,,0.02582502,0,0.364945322,0.24836874,0.310227394,0,0,0,agricultural
326,what type of community is brown's town,town,agricultural region,2,2,Wrong gold label,,0.056088317,0,0.344730377,0.220042109,0.24473241,0,0,0,agricultural region
327,what type of community is brown's town,town,a market and road center,0,2,Unrelated answer,,0.140542433,0,0.351173192,0.393872559,0.435907215,0,0,0,a market and road center
422,thomas and friends big world big adventures us release date,1989,2018,2,2,Wrong gold label,,0.014380159,0,0.503919363,0.34766078,0.411659151,0,0,0,2018
454,who did ben weston killed on days of our lives,several victims,serena mason,2,2,Incomplete answer,,0.024193315,0,0.289825559,0.153373986,0.165094763,0,0,0,serena mason
455,who did ben weston killed on days of our lives,several victims,Will Horton,1,2,Incomplete answer,,0.01027426,0,0.357853532,0.133186191,0.127109304,0,0,0,Will Horton
459,who played marcus the pre-transition sophia on orange is the new black,M Lamar,laverne cox,1,2,Names,,0.009969206,0,0.273584127,0.22748673,0.234858245,0,0,0,laverne cox
505,who sang the smokey and the bandit song,Jerry Reed Hubbard,Burt Reynolds,2,2,Imprecise question,Imprecise question,0.010033511,0,0.292308509,0.318203926,0.343510747,0,0,0,Burt Reynolds
510,when does a hockey player go to the penalty box,for all penalties,for a set number of minutes,0,2,Unrelated answer,,0.15519917,0.25,0.47356692,0.258428156,0.234881878,0,0.222222222,0.087719298,for a set number of minutes
557,what is the organism that causes red tide,algae,dinoflagellates,2,2,Different levels of precision,,0.012380444,0,0.254098862,0.399979174,0.426531851,0,0,0,dinoflagellates
578,when did the 9-1 gcse start,2017,"february 4, 2018",0,2,Dates,,0.039939955,0,0.54175359,0.329183012,0.32245326,0,0,0,"february 4, 2018"
594,when did harley start using the 103 engine,2010,"february 6, 2011",2,2,Dates,,0.043965328,0,0.543434381,0.34627068,0.341912508,0,0,0,"february 6, 2011"
641,what season does allison find out about scott,"""Formality""",season one,2,2,Wrong gold label,,0.009660334,0,0.341502726,0.185193464,0.1868985,0,0,0,season one
642,what season does allison find out about scott,"""Formality""",Season 1,2,2,Wrong gold label,,0.009947664,0,0.329589009,0.191546589,0.194951445,0,0,0,Season 1
661,who is the first country to leave the eu,French Algeria,united kingdom,2,2,Wrong gold label,,0.009767208,0,0.233451009,0.179929018,0.192556202,0,0,0,united kingdom
662,who is the first country to leave the eu,French Algeria,the UK,2,2,Wrong gold label,,0.009592358,0,0.338331342,0.159211412,0.161868513,0,0,0,the UK
672,when did the game dont wake daddy come out,1992,"june 13, 1973",2,2,Temporal,,0.010170373,0,0.463455081,0.144640043,0.136224478,0,0,0,"june 13, 1973"
694,where was the second battle of saratoga fought,Bemis Heights,"south of saratoga, new york",2,2,Spatial,,0.011634117,0,0.28387782,0.096569553,0.071979582,0,0,0,"south of saratoga, new york"
695,where was the second battle of saratoga fought,Bemis Heights,New York,2,2,Spatial,,0.01339755,0,0.243439347,0.24774611,0.274870664,0,0,0,New York
696,where was the second battle of saratoga fought,Bemis Heights,"Saratoga, New York",2,2,Spatial,,0.010300389,0,0.277574658,0.144428805,0.133576006,0,0,0,"Saratoga, New York"
709,what channel does the haves and have nots come on on directv,OWN,Oprah Winfrey Network,2,2,Acronym,,0.009514303,0,0.224635005,0.125491381,0.111271769,0,0,0,Oprah Winfrey Network
739,which legislation was responsible for changing the voting age in the united states,the Twenty-sixth Amendment,Voting Rights Act of 1965,2,2,Different levels of precision,,0.087342724,0,0.320833087,0.245854527,0.229179949,0,0,0,Voting Rights Act of 1965
782,who is the host for wheel of fortune,Pat Sajak,Vanna White,2,2,Wrong gold label,,0.009972293,0,0.246124953,0.109454922,0.074267566,0,0,0,Vanna White
835,where did the anglo saxons arrived in britain,southern and east coasts,Great Britain,2,2,Spatial,,0.009600661,0,0.294919372,0.047850892,0.011812466,0,0,0,Great Britain
890,how do you call a person who cannot speak,sign language,mute,2,2,Wrong gold label,,0.009749989,0,0.274308294,0.060206354,0.094673418,0,0,0,mute
891,how do you call a person who cannot speak,sign language,Muteness or mutism,2,2,Wrong gold label,,0.009635044,0,0.27337715,0.030037044,0.003627513,0,0,0,Muteness or mutism
