,answer1,answer2,label,sas,f1,berttrained,bertvanilla,bi_encoder,bleu,rouge_L,meteor,0_bert_score_prime,1_bert_score_prime,2_bert_score_prime,3_bert_score_prime,4_bert_score_prime,5_bert_score_prime,6_bert_score_prime,7_bert_score_prime,8_bert_score_prime,9_bert_score_prime,10_bert_score_prime,11_bert_score_prime,0_bert_score,1_bert_score,2_bert_score,3_bert_score,4_bert_score,5_bert_score,6_bert_score,7_bert_score,8_bert_score,9_bert_score,10_bert_score,11_bert_score,12_bert_score_prime,12_bert_score
0,Seine,Epte,0.0,0.0098584862425923,0.0,0.3779272437095642,0.2485637813806533,0.4230275750160217,0.0,0.0,0.0,0.025952656,0.07199049,0.109027505,0.1578367,0.15360709,0.20151296,0.2369851,0.2578511,0.29325122,0.3368693,0.3374731,0.36722806,0.12711143,0.17490868,0.24856383,0.27400225,0.32301357,0.34050238,0.40212914,0.40344065,0.42442366,0.46552166,0.5009071,0.53300303,0.37792736,0.5372816
1,Norman mercenary,an Italo-Norman named Raoul,1.0,0.3497010469436645,0.0,0.4259698092937469,0.4607194364070892,0.4396501183509826,0.0,0.2857142857142857,0.0,0.10941568,0.16425043,0.19050498,0.1903239,0.23327994,0.26254168,0.29957005,0.35006148,0.37455526,0.39973754,0.4331334,0.48219725,0.36133167,0.40466446,0.46071944,0.47441268,0.4571486,0.45922667,0.44634733,0.45027903,0.47872895,0.50121516,0.56469727,0.61447686,0.42596972,0.52510864
2,1018,1064,0.0,0.1926071345806121,0.0,0.4300167560577392,0.7156524658203125,0.4717662334442138,0.0,0.0,0.0,0.68075025,0.70369744,0.6851523,0.613411,0.55206597,0.5788048,0.5863868,0.57271016,0.53379166,0.48405376,0.47028923,0.4999419,0.5730804,0.64766484,0.71565247,0.7224654,0.7581314,0.79277897,0.8128545,0.82582337,0.82643616,0.8265005,0.81840616,0.7881906,0.43001696,0.7433354
3,Isaac Komnenos,Isaac,1.0,0.7472150921821594,0.6666666666666666,0.6090628504753113,0.5054860115051271,0.5643110275268555,0.0,0.6666666666666666,0.4545454545454545,0.42636728,0.45635995,0.47551408,0.47671935,0.4825707,0.4733915,0.49927172,0.50155854,0.5222836,0.5253865,0.5267935,0.60589314,0.4505305,0.4666245,0.5054859,0.45977214,0.45099252,0.4300582,0.38569966,0.3367117,0.32116783,0.32136285,0.31310177,0.35420397,0.60906285,0.274518
4,dukes,the dukes,2.0,0.8984519839286804,1.0,0.9590107202529908,0.8442234396934509,0.9666312336921692,0.0,0.6666666666666666,0.2631578947368421,0.78540957,0.77139896,0.7443445,0.7445279,0.70993394,0.7382464,0.7747916,0.82553285,0.8616653,0.878586,0.8946068,0.92737514,0.7760212,0.8134953,0.8442237,0.8353291,0.7921874,0.76540005,0.7539745,0.7455656,0.76002145,0.7578206,0.7661523,0.80612904,0.95901066,0.77019143
5,computational problems,A computational problem,2.0,0.961114466190338,0.5,0.8680009841918945,0.8478491902351379,0.8684110045433044,0.0,0.4,0.6465517241379309,0.7261003,0.77313393,0.80519015,0.8154842,0.79562587,0.8234055,0.8538424,0.8650603,0.8584265,0.856224,0.85886985,0.870953,0.70000386,0.8090561,0.84784913,0.84404933,0.82717234,0.8277379,0.8163086,0.8132717,0.81213754,0.80350095,0.81580573,0.80992556,0.868001,0.7508588
6,the problem,a problem,2.0,0.9184228777885436,1.0,0.9312310218811036,0.8364427089691162,0.9361361861228944,0.0,0.5,0.25,0.70250607,0.77137053,0.78873134,0.8088438,0.8371352,0.8168164,0.84358096,0.8338717,0.8555215,0.87443805,0.89071316,0.9184484,0.84413755,0.8445076,0.8364427,0.82671607,0.7991495,0.8109321,0.8004058,0.7876486,0.7910681,0.7736498,0.7782879,0.80451137,0.9312308,0.7193692
7,concrete,abstract,0.0,0.0096058584749698,0.0,0.4395960867404938,0.451262891292572,0.5078219175338745,0.0,0.0,0.0,0.31851137,0.38281345,0.42409512,0.4235293,0.47819752,0.4161537,0.38349783,0.37652156,0.38010484,0.3571468,0.37048012,0.4603502,0.30781075,0.37965885,0.4512631,0.498093,0.50218415,0.523304,0.53542334,0.5751906,0.62038743,0.64114743,0.6452318,0.6480381,0.4395961,0.6538369
8,instances,the instance,2.0,0.7130443453788757,0.0,0.7770498991012573,0.6574906706809998,0.7895278930664062,0.0,0.0,0.2631578947368421,0.5600302,0.56375337,0.57845,0.60237473,0.58256817,0.6544522,0.7304324,0.72794235,0.72967076,0.7458272,0.73503613,0.7729487,0.5016088,0.5795878,0.65749097,0.67966896,0.6604058,0.68470615,0.68492824,0.67512214,0.71630913,0.7333342,0.739152,0.786552,0.77705,0.73800325
9,solution,the solution,2.0,0.9432179927825928,1.0,0.9335057139396667,0.8526704907417297,0.956244170665741,0.0,0.6666666666666666,0.2631578947368421,0.7032291,0.70029753,0.68954736,0.6691178,0.66949546,0.7457283,0.7936761,0.84205365,0.8585925,0.8867498,0.9010357,0.91745037,0.77091193,0.81318825,0.8526704,0.8301372,0.79894686,0.7684373,0.75645655,0.7493443,0.7456814,0.74435544,0.7698183,0.81138927,0.9335057,0.7555059
10,decision problems,as decision problems,2.0,0.9523800015449524,0.8,0.8963701725006104,0.8662862777709961,0.9039085507392884,0.0,0.8,0.6465517241379309,0.79510957,0.8089056,0.80200857,0.80210143,0.79180765,0.8138047,0.8383051,0.85194993,0.8536126,0.853913,0.8523743,0.871903,0.80618876,0.84206414,0.8662863,0.86483973,0.8535872,0.8406148,0.83241165,0.8295141,0.8167826,0.81912977,0.8367925,0.8423554,0.89637005,0.73165613
11,set of triples,triple,1.0,0.90797221660614,0.0,0.8107149004936218,0.6161430478096008,0.8397619128227234,0.0,0.0,0.4166666666666667,0.45365286,0.48441267,0.53208417,0.5327926,0.5330977,0.58410233,0.6407016,0.69096094,0.7193906,0.7178981,0.73357147,0.7615959,0.57536477,0.6266573,0.61614317,0.52219516,0.493701,0.42986247,0.40139621,0.3820617,0.3851371,0.3833716,0.42007747,0.45327258,0.8107148,0.33900297
12,the instance,the size of the instance,1.0,0.5301474928855896,0.5,0.7024173736572266,0.7956526875495911,0.6792871356010437,0.0,0.5714285714285715,0.3989361702127659,0.79128975,0.781695,0.7894508,0.79461807,0.7583084,0.73485696,0.72407293,0.73404187,0.725883,0.7265532,0.71060413,0.716224,0.79165536,0.77718216,0.7956528,0.75497586,0.73744196,0.72920895,0.6788963,0.6617932,0.6266181,0.60097146,0.62196314,0.66543037,0.70241743,0.569504
13,mathematical models,branching,0.0,0.009110502898693,0.0,0.048199500888586,0.3598237037658691,0.0399470776319503,0.0,0.0,0.0,0.10643664,0.16238885,0.19763602,0.18731068,0.24666704,0.19430567,0.1781748,0.20398211,0.19168332,0.17602298,0.16997468,0.22886099,0.13948819,0.17833102,0.35982376,0.36762765,0.38374364,0.41117638,0.466482,0.45523408,0.49721164,0.48902386,0.49142092,0.52920264,0.04819953,0.44245267
14,Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8666218519210815,1.0,0.8646228313446045,0.0,1.0,0.9375,0.8870066,0.8982941,0.9018911,0.89881784,0.8883497,0.88941693,0.89224267,0.8999177,0.90389395,0.908795,0.90779155,0.9059608,0.99999964,0.99999934,1.0,1.0000005,0.9999997,1.0000002,1.0000001,0.9999997,0.9999994,0.9999997,1.0000004,1.0000007,0.8666219,0.9999999
15,Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8666218519210815,1.0,0.8646228313446045,0.0,1.0,0.9375,0.8870066,0.8982941,0.9018911,0.89881784,0.8883497,0.88941693,0.89224267,0.8999177,0.90389395,0.908795,0.90779155,0.9059608,0.99999964,0.99999934,1.0,1.0000005,0.9999997,1.0000002,1.0000001,0.9999997,0.9999994,0.9999997,1.0000004,1.0000007,0.8666219,0.9999999
16,lower bounds,lower,1.0,0.8682719469070435,0.6666666666666666,0.7282462120056152,0.7264958024024963,0.7123061418533325,0.0,0.6666666666666666,0.4545454545454545,0.5457451,0.5748712,0.5973002,0.59431005,0.6122644,0.63018656,0.65477955,0.6401961,0.63870925,0.64854777,0.6621222,0.71694803,0.72058076,0.7115503,0.72649544,0.7039278,0.67163146,0.6578346,0.65911174,0.63616216,0.63062465,0.67174363,0.66394836,0.69390917,0.72824615,0.67044306
17,upper bound,upper and lower bounds,1.0,0.6265222430229187,0.3333333333333333,0.6372426748275757,0.6880158185958862,0.6247723698616028,0.0,0.3333333333333333,0.2631578947368421,0.76641953,0.7656361,0.7721981,0.7548847,0.75985634,0.7683178,0.7745475,0.74440175,0.7361166,0.746324,0.723445,0.717032,0.60737795,0.66474366,0.68801606,0.6888225,0.6646001,0.6398509,0.6517348,0.6612374,0.6739905,0.6929136,0.7213551,0.75414693,0.63724256,0.6857069
18,the bound on the complexity of reductions,types of reductions,1.0,0.5088039636611938,0.5,0.6993225812911987,0.608423113822937,0.6953393220901489,0.0,0.4,0.5514705882352942,0.55640143,0.55918556,0.5918611,0.60340625,0.5997936,0.56231254,0.5776214,0.6092888,0.6266589,0.64185995,0.62794614,0.68656224,0.54923326,0.57758,0.6084233,0.5918198,0.5890617,0.5819817,0.57943195,0.5655873,0.584696,0.5846336,0.60936975,0.64311564,0.6993226,0.60195875
19,if every problem in C can be reduced to X,problem in C is harder than X,0.0,0.4859102070331574,0.4705882352941176,0.7452842593193054,0.6614111065864563,0.7405028939247131,0.0,0.4705882352941176,0.5136986301369862,0.4978713,0.51847446,0.55962247,0.5886683,0.5882286,0.57269186,0.5960082,0.63540673,0.64542675,0.64335996,0.66011333,0.72549486,0.568171,0.6141212,0.6614111,0.6654527,0.6884134,0.71368814,0.7022323,0.6886242,0.690378,0.68953323,0.7568956,0.799717,0.7452844,0.75715816
20,NP,P,1.0,0.166456714272499,0.0,0.5963450074195862,0.3878518342971802,0.6375851631164551,0.0,0.0,0.0,0.23554975,0.27432436,0.3250897,0.39012876,0.41871247,0.47833532,0.519022,0.4975355,0.5031526,0.5171949,0.5081983,0.5722733,0.24497902,0.29566044,0.38785186,0.4532209,0.47471362,0.50494957,0.5309544,0.5386339,0.546702,0.56295824,0.52609277,0.5319192,0.59634525,0.54187983
21,graph isomorphism problem,the discrete logarithm problem,0.0,0.100167341530323,0.3333333333333333,0.3588646948337555,0.4529604315757752,0.3528301715850829,0.0,0.2857142857142857,0.1282051282051282,0.24346125,0.30155307,0.3361152,0.37907574,0.40643194,0.42889935,0.4565429,0.4616474,0.46948326,0.48749778,0.49140257,0.49963525,0.29158428,0.43983224,0.45296043,0.44109112,0.46534994,0.50594634,0.51323533,0.52093524,0.5579946,0.57720304,0.66114366,0.6884213,0.35886475,0.6368514
22,modern cryptographic systems,RSA algorithm,1.0,0.0471636541187763,0.0,0.3799830675125122,0.3073315620422363,0.3657781183719635,0.0,0.0,0.0,0.18784417,0.24510807,0.2857655,0.2968718,0.3165124,0.31195104,0.34426495,0.36183876,0.34444734,0.3535889,0.35513085,0.4450502,0.15692964,0.26681504,0.30733156,0.34666234,0.36736652,0.4098912,0.41815352,0.42998737,0.4473972,0.45268247,0.4724718,0.49934927,0.379983,0.47996747
23,the general number field sieve,RSA,0.0,0.0096493875607848,0.0,0.1167503073811531,0.289973646402359,0.0831216648221015,0.0,0.0,0.0,0.09617426,0.16091782,0.17000394,0.16504988,0.1431882,0.15860495,0.17491576,0.21412179,0.24219112,0.25032187,0.23825982,0.27476555,0.14929664,0.20393875,0.28997365,0.28783965,0.2965728,0.32760572,0.32770413,0.3412214,0.37013736,0.38632536,0.4012629,0.4392413,0.11675045,0.3518078
24,Los Angeles,Riverside,0.0,0.0774319097399711,0.0,0.2048388123512268,0.2787351310253143,0.2442780584096909,0.0,0.0,0.0,0.057961334,0.09461198,0.13181858,0.15421727,0.18794374,0.2003907,0.19585544,0.23689725,0.23664975,0.26512617,0.25444666,0.31618163,0.14053111,0.14722371,0.27873528,0.3437365,0.3869624,0.4480736,0.4512902,0.45009366,0.46033123,0.48095417,0.54634064,0.55837655,0.20483886,0.48151964
25,United States,Los Angeles,1.0,0.0164951048791408,0.0,0.3080690801143646,0.3528873324394226,0.3406802713871002,0.0,0.0,0.0,0.24169354,0.2799852,0.32486165,0.40446845,0.4788181,0.45369062,0.42318192,0.44465724,0.40576485,0.3925127,0.3109294,0.37863317,0.18361706,0.29957458,0.35288745,0.44408458,0.52689886,0.56377935,0.5487299,0.52742076,0.5351007,0.50117844,0.43108723,0.44195557,0.30806908,0.4418568
26,counties,five most populous in the state,0.0,0.1538477987051009,0.0,0.2681763172149658,0.3282521069049835,0.2459080219268799,0.0,0.0,0.0,0.114228636,0.15915893,0.20871948,0.21414644,0.25070578,0.26869825,0.31000885,0.29986274,0.2746986,0.2696505,0.30509737,0.39985904,0.17795818,0.23859467,0.3282521,0.3761366,0.3800489,0.41030514,0.39998472,0.3897976,0.3671622,0.346799,0.39693075,0.43182662,0.26817632,0.32713678
27,15,Riverside,0.0,0.0098861353471875,0.0,0.2634989619255066,0.383090615272522,0.3028425872325897,0.0,0.0,0.0,0.07203335,0.11596505,0.13160428,0.1359666,0.15359442,0.16934046,0.19601074,0.18040587,0.1703248,0.17057124,0.1495694,0.2526106,0.18630132,0.26174432,0.38309067,0.48407066,0.47488892,0.48615623,0.45385182,0.41892594,0.42924803,0.4430035,0.41219664,0.43375188,0.263499,0.37981805
28,counties,Riverside,0.0,0.0108215408399701,0.0,0.263821542263031,0.3029015958309173,0.3063364624977112,0.0,0.0,0.0,0.08445329,0.14576292,0.20481993,0.24296965,0.25085938,0.26463434,0.24997246,0.27568457,0.26812318,0.23406202,0.25598663,0.3801329,0.11446943,0.17058256,0.3029016,0.380976,0.4012377,0.41733062,0.43107346,0.43936312,0.47490826,0.5202011,0.5371994,0.5430653,0.26382172,0.46577176
29,music,major record companies,0.0,0.1647692918777465,0.0,0.2155384570360183,0.3127571940422058,0.2303117811679839,0.0,0.0,0.0,0.14782806,0.21991591,0.27051416,0.28349465,0.27523628,0.25667852,0.22916685,0.2628507,0.25112873,0.24044654,0.24191827,0.3490655,0.18884265,0.20868997,0.31275734,0.34091145,0.36955014,0.4112931,0.41913846,0.41782463,0.4452831,0.4606692,0.45252863,0.49561855,0.21553835,0.37560904
30,southern,the desert,0.0,0.0094904545694589,0.0,0.3564222157001495,0.4359545111656189,0.4103421568870544,0.0,0.0,0.0,0.172936,0.21878809,0.22551884,0.23438682,0.3483927,0.30800232,0.32204026,0.30616802,0.28906983,0.29438752,0.3178459,0.40996167,0.25187546,0.34964964,0.4359545,0.44583058,0.4684454,0.47308928,0.48600706,0.47709715,0.5314255,0.54454726,0.6036341,0.6600387,0.35642233,0.5770485
31,northern,the Tehachapi Mountains,0.0,0.0103929378092288,0.0,0.1276415735483169,0.3051382899284363,0.1128000766038894,0.0,0.0,0.0,0.11457275,0.14828923,0.1742212,0.18419664,0.23800899,0.2343821,0.23331003,0.26547456,0.28092065,0.26630712,0.24134533,0.24319473,0.17129835,0.2323307,0.30513823,0.3064948,0.31145048,0.32196653,0.30717677,0.2924933,0.31501406,0.31575248,0.3300012,0.37817731,0.12764148,0.31515774
32,the Missouri Compromise,the Compromise of 1850,1.0,0.313001424074173,0.4,0.4784886240959167,0.6804402470588684,0.397628515958786,0.0,0.5714285714285715,0.2564102564102564,0.76132566,0.76281124,0.7727867,0.78264016,0.76826626,0.75051343,0.7521057,0.7626516,0.766121,0.77193797,0.77609944,0.70650035,0.6724099,0.65928704,0.6804402,0.6248632,0.6126438,0.64037275,0.63577807,0.63778704,0.6289683,0.61633307,0.6497961,0.673358,0.4784885,0.64933133
33,Imperial,1999,0.0,0.0101090455427765,0.0,0.2343155443668365,0.3290035426616669,0.2663083076477051,0.0,0.0,0.0,0.08787951,0.15582532,0.20894752,0.19957931,0.16106975,0.15862034,0.18324833,0.1890083,0.14543882,0.14871575,0.17274198,0.27499685,0.1686568,0.2342075,0.32900354,0.36601415,0.406784,0.42682448,0.43910143,0.46666622,0.50797915,0.5292653,0.5618453,0.6071805,0.2343154,0.5461957
34,regional tourism groups,AAA Auto Clubs,0.0,0.0114841600880026,0.0,0.1829883307218551,0.2856516540050506,0.1900401413440704,0.0,0.0,0.0,0.15047328,0.20337142,0.23345616,0.27417353,0.29752275,0.30432895,0.31913012,0.33628976,0.34214473,0.360441,0.3505939,0.36562023,0.20464285,0.18880568,0.28565165,0.34662488,0.41328886,0.48306248,0.5077756,0.5093415,0.5401013,0.54238033,0.5299911,0.55988574,0.18298835,0.52537835
35,Inland Empire,Temecula and Murrieta,0.0,0.0107418792322278,0.0,0.1351443529129028,0.2396584898233413,0.1178304105997085,0.0,0.0,0.0,0.09860703,0.11771307,0.14240853,0.15034105,0.15079391,0.15309675,0.17636529,0.21844986,0.22944476,0.22039054,0.22854008,0.31535915,0.08233714,0.15249561,0.23965847,0.2623513,0.27831292,0.29309574,0.3143688,0.34142286,0.38084972,0.3971012,0.41254807,0.4550082,0.13514432,0.34770915
